Sex,Beetle ID,Mass of Beetle (grams),Date chilled,Temp of chilling,Treatment,Papertowel exotherm,Beetle exotherm,Survival
M,22,0.0186,07-Oct-25,-5,Handling control,N/A,N/A,Y
M,23,0.0165,07-Oct-25,-5,Handling control,N/A,N/A,Y
M,24,0.0176,07-Oct-25,-5,Handling control,N/A,N/A,Y
F,4,0.0235,06-Oct-25,-8,Ice added,Y,Y,N
F,6,0.0299,06-Oct-25,-8,Ice added,Y,Y,N
F,8,0.014,06-Oct-25,-8,Ice added,Y,Y,N
F,3,0.0175,06-Oct-25,-8,No ice added,Y,Y,N
F,5,0.0261,06-Oct-25,-8,No ice added,Y,Y,N
F,7,0.0222,06-Oct-25,-8,No ice added,Y,Y,N
F,2,0.0177,06-Oct-25,-8,Ice added,Y,N,N
F,1,0.0275,06-Oct-25,-8,No ice added,N,N,Y
F,9,0.0202,06-Oct-25,-8,Handling control,N/A,N/A,Y
F,10,0.0283,06-Oct-25,-8,Handling control,N/A,N/A,Y
F,11,0.0256,06-Oct-25,-8,Handling control,N/A,N/A,Y
F,12,0.0252,06-Oct-25,-8,Handling control,N/A,N/A,Y
M,14,0.0167,06-Oct-25,-8,Ice added,Y,Y,N
M,16,0.0295,06-Oct-25,-8,Ice added,Y,Y,N
M,18,0.0158,06-Oct-25,-8,Ice added,Y,Y,N
M,20,0.0229,06-Oct-25,-8,Ice added,Y,Y,N
M,15,0.0144,06-Oct-25,-8,No ice added,Y,Y,N
M,17,0.013,06-Oct-25,-8,No ice added,Y,Y,N
M,19,0.0215,06-Oct-25,-8,No ice added,Y,Y,N
M,13,0.0169,06-Oct-25,-8,No ice added,Y,N,N
M,21,0.0183,06-Oct-25,-8,Handling control,N/A,N/A,Y
M,22,0.0116,06-Oct-25,-8,Handling control,N/A,N/A,Y
M,23,0.0186,06-Oct-25,-8,Handling control,N/A,N/A,Y
M,24,0.0093,06-Oct-25,-8,Handling control,N/A,N/A,Y
